Sta Lon Lat de(m) dn(m) du(m) sde(m) sdn(m) sdu(m)
BEPK -118.074100 35.878400 -0.006190 0.003860 0.009700 1 1 1.732000
BFSH -118.498000 35.591100 0.000260 -0.002730 0.009380 1 1 1.732000
BSRY -117.012000 34.918600 -0.002140 0.003340 0.003120 1 1 1.732000
CABS -117.050000 34.894500 -0.003600 0.002730 0.007730 1 1 1.732000
CAIS -118.487300 35.602700 -0.005400 0.000780 0.002370 1 1 1.732000
CCCC -117.671200 35.565300 -0.042840 0.004490 0.015290 1 1 1.732000
CPBN -117.573000 35.071700 -0.002320 0.006690 -0.005720 1 1 1.732000
DS13 -116.791500 35.247800 0.012260 0.005060 0.020360 1 1 1.732000
DTPG -117.845900 35.267500 -0.001190 0.006120 0.006470 1 1 1.732000
ELTN -118.425700 34.703100 0.000700 -0.005830 0.011800 1 1 1.732000
GOL2 -116.889300 35.425200 0.004850 -0.001550 0.008020 1 1 1.732000
HAR7 -117.299200 35.011500 -0.003600 0.006550 0.003730 1 1 1.732000
HIVI -117.799500 34.759900 0.006720 -0.005330 0.005180 1 1 1.732000
ISLK -118.474300 35.662300 -0.007640 0.001590 0.000140 1 1 1.732000
LNMT -116.939700 35.090200 -0.001760 0.002600 0.002470 1 1 1.732000
P463 -117.164700 36.022500 -0.002050 -0.002500 -0.005700 1 1 1.732000
P464 -117.410000 36.159000 -0.002550 -0.009410 0.003600 1 1 1.732000
P568 -118.126500 35.254300 -0.004260 0.005450 -0.004370 1 1 1.732000
P569 -118.123800 35.378000 -0.006700 0.003270 -0.007230 1 1 1.732000
P570 -118.260000 35.667300 -0.006000 0.000640 -0.014930 1 1 1.732000
P573 -118.260500 36.093100 0.002630 -0.004870 -0.027080 1 1 1.732000
P579 -118.005800 35.038800 -0.001300 0.004400 0.003020 1 1 1.732000
P580 -117.192200 35.620900 0.022520 -0.002120 0.000130 1 1 1.732000
P583 -117.543400 34.987000 -0.002210 0.005980 -0.001620 1 1 1.732000
P588 -117.267600 34.785400 -0.001630 0.001630 0.004230 1 1 1.732000
P590 -117.364800 35.116800 -0.003370 0.005450 0.005280 1 1 1.732000
P591 -118.016500 35.152400 -0.001040 0.005310 0.003560 1 1 1.732000
P592 -117.303200 35.238600 -0.003840 0.008650 -0.007030 1 1 1.732000
P593 -117.205100 35.387900 0.000560 0.002930 0.003590 1 1 1.732000
P594 -117.390100 35.896700 -0.010080 -0.020250 0.001570 1 1 1.732000
P595 -117.402800 35.697600 0.105310 0.003440 0.024320 1 1 1.732000
P596 -116.889500 35.998200 -0.003410 0.002150 -0.006010 1 1 1.732000
P597 -116.888400 35.710600 0.004580 0.003870 -0.002460 1 1 1.732000
P604 -116.671500 34.936800 -0.001470 0.001470 -0.012020 1 1 1.732000
P615 -116.762900 35.204600 0.000050 -0.000340 0.005270 1 1 1.732000
P616 -117.893300 35.424600 -0.009140 0.003410 0.001600 1 1 1.732000
P617 -116.571600 35.320600 -0.003110 0.001960 -0.008340 1 1 1.732000
P811 -118.016600 35.152400 0.001170 0.001840 0.004550 1 1 1.732000
P812 -118.016500 35.152500 -0.002340 0.002770 0.011950 1 1 1.732000
RAMT -117.683300 35.338700 -0.001220 0.018260 0.003150 1 1 1.732000
RSTP -118.192900 34.875100 -0.001740 0.007000 0.006940 1 1 1.732000
TEHA -118.469800 35.143100 0.001190 0.003780 0.000650 1 1 1.732000
THCP -118.414600 35.158200 -0.001390 0.003000 -0.003520 1 1 1.732000
TPOG -118.228600 34.878900 0.000010 0.006170 0.009770 1 1 1.732000
WHFG -118.352000 35.695100 -0.005760 0.002090 0.004690 1 1 1.732000
WORG -118.242400 35.695600 0.004890 0.002140 -0.001650 1 1 1.732000
