Lon Lat Los(m) wt E N U
-118.145417 35.343194 -0.005198 1.000000 -0.589906 -0.108213 0.800188
-118.127639 35.343194 -0.017704 1.000000 -0.591233 -0.108347 0.799190
-118.109861 35.734306 0.037394 1.000000 -0.599150 -0.109054 0.793175
-118.109861 35.716528 0.021885 1.000000 -0.598896 -0.109036 0.793369
-118.092083 35.734306 0.045218 1.000000 -0.600551 -0.109196 0.792095
-118.092083 35.716528 0.025550 1.000000 -0.600300 -0.109179 0.792288
-117.967639 35.805417 0.061306 1.000000 -0.611335 -0.110235 0.783657
-117.967639 35.787639 0.052349 1.000000 -0.610903 -0.110188 0.784000
-117.949861 35.805417 0.064859 1.000000 -0.612661 -0.110360 0.782603
-117.949861 35.787639 0.070161 1.000000 -0.612201 -0.110307 0.782970
-117.932083 35.947639 0.032678 1.000000 -0.615986 -0.110602 0.779954
-117.932083 35.929861 0.043325 1.000000 -0.615888 -0.110614 0.780030
-117.932083 35.805417 0.069215 1.000000 -0.613939 -0.110475 0.781584
-117.932083 35.787639 0.087244 1.000000 -0.613528 -0.110432 0.781913
-117.932083 35.769861 0.080200 1.000000 -0.613163 -0.110396 0.782204
-117.932083 35.752083 0.054679 1.000000 -0.612972 -0.110392 0.782355
-117.932083 35.734306 0.042206 1.000000 -0.612563 -0.110349 0.782681
-117.932083 35.716528 0.046761 1.000000 -0.612428 -0.110354 0.782786
-117.932083 35.343194 -0.029030 1.000000 -0.605925 -0.109804 0.787908
-117.914306 35.947639 0.048209 1.000000 -0.617211 -0.110706 0.778971
-117.914306 35.929861 0.054332 1.000000 -0.616964 -0.110692 0.779168
-117.914306 35.805417 0.070599 1.000000 -0.615057 -0.110562 0.780693
-117.914306 35.787639 0.083599 1.000000 -0.614828 -0.110551 0.780874
-117.914306 35.769861 0.082825 1.000000 -0.614460 -0.110515 0.781169
-117.914306 35.752083 0.077720 1.000000 -0.614185 -0.110496 0.781388
-117.914306 35.734306 0.067513 1.000000 -0.613853 -0.110466 0.781653
-117.914306 35.716528 0.052851 1.000000 -0.613641 -0.110458 0.781821
-117.914306 35.343194 -0.038123 1.000000 -0.607245 -0.109930 0.786873
-117.896528 35.983194 0.034600 1.000000 -0.619069 -0.110862 0.777472
-117.896528 35.965417 0.046810 1.000000 -0.618781 -0.110841 0.777704
-117.896528 35.947639 0.056305 1.000000 -0.618506 -0.110822 0.777926
-117.896528 35.929861 0.064142 1.000000 -0.618253 -0.110807 0.778129
-117.896528 35.912083 0.078905 1.000000 -0.617947 -0.110783 0.778376
-117.896528 35.894306 0.082061 1.000000 -0.617637 -0.110758 0.778625
-117.896528 35.876528 0.081234 1.000000 -0.617351 -0.110737 0.778855
-117.896528 35.858750 0.078105 1.000000 -0.617079 -0.110719 0.779073
-117.896528 35.840972 0.076896 1.000000 -0.616745 -0.110690 0.779341
-117.896528 35.823194 0.074786 1.000000 -0.616480 -0.110673 0.779554
-117.896528 35.805417 0.065136 1.000000 -0.616221 -0.110656 0.779761
-117.896528 35.787639 0.070951 1.000000 -0.615993 -0.110646 0.779942
-117.896528 35.769861 0.075571 1.000000 -0.615669 -0.110618 0.780202
-117.896528 35.752083 0.078506 1.000000 -0.615375 -0.110596 0.780437
