Lon Lat Los(m) wt E N U
-117.967639 35.734306 -0.060802 1.000000 0.659209 -0.114150 0.743245
-117.967639 35.716528 -0.054150 1.000000 0.658962 -0.114142 0.743465
-117.949861 35.734306 -0.074497 1.000000 0.657863 -0.114040 0.744453
-117.949861 35.716528 -0.062642 1.000000 0.657705 -0.114046 0.744592
-117.932083 35.912083 -0.059951 1.000000 0.659191 -0.114050 0.743277
-117.932083 35.894306 -0.073654 1.000000 0.658902 -0.114035 0.743535
-117.914306 35.912083 -0.073603 1.000000 0.657926 -0.113954 0.744411
-117.914306 35.894306 -0.085691 1.000000 0.657632 -0.113938 0.744674
-117.896528 35.983194 -0.034526 1.000000 0.657619 -0.113888 0.744692
-117.896528 35.965417 -0.045833 1.000000 0.657387 -0.113881 0.744898
-117.896528 35.947639 -0.060071 1.000000 0.657144 -0.113873 0.745114
-117.896528 35.929861 -0.072824 1.000000 0.656923 -0.113869 0.745309
-117.896528 35.912083 -0.089277 1.000000 0.656648 -0.113855 0.745553
-117.896528 35.894306 -0.097952 1.000000 0.656329 -0.113834 0.745838
-117.896528 35.876528 -0.105641 1.000000 0.656086 -0.113826 0.746053
-117.896528 35.858750 -0.113474 1.000000 0.655851 -0.113819 0.746260
-117.896528 35.840972 -0.120249 1.000000 0.655587 -0.113807 0.746495
-117.896528 35.823194 -0.123851 1.000000 0.655345 -0.113799 0.746708
-117.896528 35.805417 -0.119332 1.000000 0.655107 -0.113791 0.746918
-117.896528 35.787639 -0.117782 1.000000 0.654854 -0.113781 0.747141
-117.896528 35.769861 -0.115385 1.000000 0.654584 -0.113768 0.747379
-117.896528 35.752083 -0.109665 1.000000 0.654346 -0.113760 0.747589
-117.896528 35.734306 -0.102287 1.000000 0.654113 -0.113753 0.747794
-117.896528 35.716528 -0.090641 1.000000 0.653969 -0.113762 0.747919
-117.896528 35.698750 -0.081910 1.000000 0.653736 -0.113755 0.748124
-117.896528 35.680972 -0.072463 1.000000 0.653540 -0.113754 0.748295
-117.878750 35.983194 -0.029562 1.000000 0.656485 -0.113813 0.745704
-117.878750 35.965417 -0.043295 1.000000 0.656260 -0.113808 0.745903
-117.878750 35.947639 -0.060654 1.000000 0.656007 -0.113798 0.746126
-117.878750 35.929861 -0.074611 1.000000 0.655855 -0.113805 0.746259
-117.878750 35.912083 -0.095292 1.000000 0.655540 -0.113785 0.746539
-117.878750 35.894306 -0.114363 1.000000 0.655170 -0.113755 0.746869
-117.878750 35.876528 -0.123008 1.000000 0.654905 -0.113743 0.747103
-117.878750 35.858750 -0.137169 1.000000 0.654645 -0.113731 0.747332
-117.878750 35.840972 -0.142019 1.000000 0.654382 -0.113719 0.747564
-117.878750 35.823194 -0.143823 1.000000 0.654127 -0.113709 0.747789
-117.878750 35.805417 -0.138859 1.000000 0.653880 -0.113700 0.748006
-117.878750 35.787639 -0.137342 1.000000 0.653628 -0.113689 0.748228
-117.878750 35.769861 -0.133474 1.000000 0.653377 -0.113679 0.748449
-117.878750 35.752083 -0.125669 1.000000 0.653130 -0.113670 0.748665
-117.878750 35.734306 -0.113671 1.000000 0.652894 -0.113662 0.748872
-117.878750 35.716528 -0.104227 1.000000 0.652692 -0.113660 0.749049
-117.878750 35.698750 -0.093402 1.000000 0.652445 -0.113651 0.749266
-117.878750 35.680972 -0.082868 1.000000 0.652235 -0.113648 0.749448
-117.860972 35.983194 -0.022838 1.000000 0.655362 -0.113740 0.746702
-117.860972 35.965417 -0.039285 1.000000 0.655147 -0.113737 0.746891
-117.860972 35.947639 -0.059745 1.000000 0.654875 -0.113723 0.747132
-117.860972 35.929861 -0.075139 1.000000 0.654736 -0.113733 0.747252
-117.860972 35.912083 -0.099584 1.000000 0.654397 -0.113708 0.747553
-117.860972 35.894306 -0.122327 1.000000 0.654012 -0.113675 0.747895
