# Name lon lat v_east v_north v_up e_east e_north e_up 
BEPK 241.9259 35.8784 -0.0009452765832624619 0.003281621208697871 0.010517965596611445 1.0 1.0 1.732 
BFSH 241.502 35.5911 0.0035898522974591464 -0.0027442776413508833 0.010161191809114685 1.0 1.0 1.732 
BSRY 242.988 34.9186 -0.0023221234118598593 0.0019675378433782415 0.002824828267085341 1.0 1.0 1.732 
CABS 242.95 34.8945 -0.0037003548733286714 0.001200607541572175 0.007380061607140136 1.0 1.0 1.732 
CAIS 241.5127 35.6027 -0.001973541988992118 0.0007494123940980012 0.0031687629148800262 1.0 1.0 1.732 
CCCC 242.3288 35.5653 -0.015319604296111233 0.0016131448532007518 0.01153923008303278 1.0 1.0 1.732 
CPBN 242.42700000000002 35.0717 -0.002554525290967907 0.000744915551135838 -0.0069242933803475544 1.0 1.0 1.732 
DS13 243.20850000000002 35.2478 0.010098330973722565 0.005175254434156322 0.020764153870499576 1.0 1.0 1.732 
DTPG 242.1541 35.2675 -0.0013921188834831648 0.0011344915323177806 0.0057581530563029105 1.0 1.0 1.732 
ELTN 241.5743 34.7031 0.0008095472900496507 -0.006463499935336841 0.011667661910234153 1.0 1.0 1.732 
GOL2 243.1107 35.4252 5.486021505204334e-05 -0.0008823400517125492 0.008882445715878965 1.0 1.0 1.732 
HAR7 242.70080000000002 35.0115 -0.0034573759387390465 0.0030050456254212985 0.002944619306211707 1.0 1.0 1.732 
HIVI 242.2005 34.7599 0.006509619876654139 -0.007565969359840545 0.004586472290010948 1.0 1.0 1.732 
ISLK 241.5257 35.6623 -0.004071540049978967 0.0014617334968989892 0.0009676542358843293 1.0 1.0 1.732 
LNMT 243.06029999999998 35.0902 -0.0026065362825581557 0.001753703266627981 0.002422122095510341 1.0 1.0 1.732 
P463 242.83530000000002 36.0225 -0.002415380036162996 0.0009101596396273955 -0.0060309775850394265 1.0 1.0 1.732 
P464 242.59 36.159 -0.0017899719383657265 -0.0022694110333509945 0.002440744324982808 1.0 1.0 1.732 
P568 241.8735 35.2543 -0.00256705193141411 0.004678819992981939 -0.00423606511437783 1.0 1.0 1.732 
P569 241.87619999999998 35.378 -0.0028942210160216877 0.003257451358886231 -0.00667070501260778 1.0 1.0 1.732 
P570 241.74 35.6673 -2.3553530090673555e-05 0.00039262364410477124 -0.013788481511318859 1.0 1.0 1.732 
P573 241.73950000000002 36.0931 0.004251099095633209 -0.004659750539621863 -0.02680358174543875 1.0 1.0 1.732 
P579 241.9942 35.0388 -0.0013702920333322193 0.002197248261890925 0.0025623275440218416 1.0 1.0 1.732 
P580 242.8078 35.6209 -2.4679581297051834e-05 -0.0005802083912755719 0.0011372603261181168 1.0 1.0 1.732 
P583 242.45659999999998 34.987 -0.0023243834568117227 0.0014338054671478515 -0.0026381282995886777 1.0 1.0 1.732 
P588 242.73239999999998 34.7854 -0.0015638188144032291 -0.0005104721984154287 0.003673468994744245 1.0 1.0 1.732 
P590 242.6352 35.1168 -0.003121901833378498 7.860480046729089e-05 0.004236162638808317 1.0 1.0 1.732 
P591 241.9835 35.1524 -0.0007164024643679553 0.003214082156451576 0.00322713667577649 1.0 1.0 1.732 
P592 242.6968 35.2386 -0.00379729722159823 0.003040000219980932 -0.007914084451620352 1.0 1.0 1.732 
P593 242.79489999999998 35.3879 -0.003836536579980597 0.001711712298529608 0.0036903995589545728 1.0 1.0 1.732 
P594 242.60989999999998 35.8967 -0.006857424951147686 -0.0031151697580712075 0.0013076338901832029 1.0 1.0 1.732 
P595 242.5972 35.6976 0.05103176348012735 -0.0018862636336961932 0.01670750866544681 1.0 1.0 1.732 
P596 243.1105 35.9982 -0.0055826223973224325 0.0025067264436916753 -0.00566634342552696 1.0 1.0 1.732 
P597 243.1116 35.7106 -0.0021637315385353677 0.003743728957412633 -0.0012742445063187399 1.0 1.0 1.732 
P604 243.32850000000002 34.9368 -0.002095806562294052 0.0011307661529144676 -0.011978320642482573 1.0 1.0 1.732 
P615 243.2371 35.2046 -0.0017463082992445575 -0.0003148264060341274 0.00560096357977761 1.0 1.0 1.732 
P616 242.1067 35.4246 -0.004015073350805312 0.002100648972269737 0.0018023390659592882 1.0 1.0 1.732 
P617 243.4284 35.3206 -0.0053274215375596935 0.0022289306523115044 -0.00781382874629646 1.0 1.0 1.732 
P811 241.98340000000002 35.1524 0.0014940580690682252 -0.0002548987617335156 0.004217383150678847 1.0 1.0 1.732 
P812 241.9835 35.1525 -0.0020158730848742405 0.0006742584915772972 0.01161728422538919 1.0 1.0 1.732 
RAMT 242.3167 35.3387 -0.003204802009415487 0.004350253378252147 0.0018500998688696095 1.0 1.0 1.732 
RSTP 241.8071 34.8751 -0.001680941893549298 0.005839269252250956 0.006685425519766745 1.0 1.0 1.732 
TEHA 241.53019999999998 35.1431 0.0023451884835485907 0.0036007450187854916 0.0008625653319036376 1.0 1.0 1.732 
THCP 241.5854 35.1582 -0.00016677820520361476 0.0027768272401016507 -0.0033098408519565345 1.0 1.0 1.732 
TPOG 241.7714 34.8789 0.00011932412016803577 0.005123999207833255 0.009552063673698872 1.0 1.0 1.732 
WHFG 241.648 35.6951 -0.0010933649376775757 0.0018325588610850424 0.005677354800576136 1.0 1.0 1.732 
WORG 241.7576 35.6956 0.011071280533852926 0.0017653853431730334 -0.0004894503758313717 1.0 1.0 1.732 
