# Name lon lat v_east v_north v_up e_east e_north e_up 
BEPK 241.9259 35.8784 -0.005244723416737538 0.0005783787913021292 -0.0008179655966114447 1.0 1.0 1.732 
BFSH 241.502 35.5911 -0.0033298522974591466 1.4277641350883545e-05 -0.0007811918091146852 1.0 1.0 1.732 
BSRY 242.988 34.9186 0.00018212341185985914 0.0013724621566217586 0.0002951717329146591 1.0 1.0 1.732 
CABS 242.95 34.8945 0.00010035487332867169 0.0015293924584278249 0.0003499383928598637 1.0 1.0 1.732 
CAIS 241.5127 35.6027 -0.0034264580110078824 3.058760590199882e-05 -0.0007987629148800263 1.0 1.0 1.732 
CCCC 242.3288 35.5653 -0.02752039570388877 0.0028768551467992483 0.0037507699169672206 1.0 1.0 1.732 
CPBN 242.42700000000002 35.0717 0.00023452529096790723 0.005945084448864162 0.0012042933803475544 1.0 1.0 1.732 
DS13 243.20850000000002 35.2478 0.0021616690262774344 -0.00011525443415632187 -0.0004041538704995766 1.0 1.0 1.732 
DTPG 242.1541 35.2675 0.00020211888348316463 0.004985508467682219 0.0007118469436970897 1.0 1.0 1.732 
ELTN 241.5743 34.7031 -0.00010954729004965073 0.0006334999353368408 0.00013233808976584674 1.0 1.0 1.732 
GOL2 243.1107 35.4252 0.004795139784947957 -0.0006676599482874508 -0.0008624457158789661 1.0 1.0 1.732 
HAR7 242.70080000000002 35.0115 -0.00014262406126095358 0.0035449543745787017 0.0007853806937882929 1.0 1.0 1.732 
HIVI 242.2005 34.7599 0.00021038012334586082 0.0022359693598405454 0.0005935277099890522 1.0 1.0 1.732 
ISLK 241.5257 35.6623 -0.0035684599500210323 0.0001282665031010109 -0.0008276542358843293 1.0 1.0 1.732 
LNMT 243.06029999999998 35.0902 0.0008465362825581556 0.0008462967333720189 4.7877904489658995e-05 1.0 1.0 1.732 
P463 242.83530000000002 36.0225 0.0003653800361629962 -0.0034101596396273956 0.0003309775850394266 1.0 1.0 1.732 
P464 242.59 36.159 -0.0007600280616342737 -0.007140588966649005 0.001159255675017192 1.0 1.0 1.732 
P568 241.8735 35.2543 -0.0016929480685858901 0.0007711800070180617 -0.00013393488562216972 1.0 1.0 1.732 
P569 241.87619999999998 35.378 -0.0038057789839783126 1.2548641113769106e-05 -0.0005592949873922203 1.0 1.0 1.732 
P570 241.74 35.6673 -0.005976446469909327 0.0002473763558952288 -0.001141518488681142 1.0 1.0 1.732 
P573 241.73950000000002 36.0931 -0.001621099095633209 -0.00021024946037813777 -0.00027641825456125246 1.0 1.0 1.732 
P579 241.9942 35.0388 7.029203333221927e-05 0.0022027517381090754 0.0004576724559781585 1.0 1.0 1.732 
P580 242.8078 35.6209 0.02254467958129705 -0.001539791608724428 -0.001007260326118117 1.0 1.0 1.732 
P583 242.45659999999998 34.987 0.00011438345681172238 0.004546194532852149 0.001018128299588678 1.0 1.0 1.732 
P588 242.73239999999998 34.7854 -6.618118559677082e-05 0.0021404721984154287 0.0005565310052557552 1.0 1.0 1.732 
P590 242.6352 35.1168 -0.0002480981666215024 0.005371395199532709 0.0010438373611916828 1.0 1.0 1.732 
P591 241.9835 35.1524 -0.0003235975356320446 0.0020959178435484235 0.0003328633242235096 1.0 1.0 1.732 
P592 242.6968 35.2386 -4.2702778401770055e-05 0.005609999780019068 0.0008840844516203529 1.0 1.0 1.732 
P593 242.79489999999998 35.3879 0.004396536579980597 0.001218287701470392 -0.00010039955895457304 1.0 1.0 1.732 
P594 242.60989999999998 35.8967 -0.003222575048852314 -0.017134830241928793 0.0002623661098167971 1.0 1.0 1.732 
P595 242.5972 35.6976 0.05427823651987265 0.005326263633696193 0.007612491334553189 1.0 1.0 1.732 
P596 243.1105 35.9982 0.002172622397322433 -0.0003567264436916751 -0.00034365657447303963 1.0 1.0 1.732 
P597 243.1116 35.7106 0.0067437315385353675 0.00012627104258736726 -0.00118575549368126 1.0 1.0 1.732 
P604 243.32850000000002 34.9368 0.000625806562294052 0.00033923384708553234 -4.1679357517425724e-05 1.0 1.0 1.732 
P615 243.2371 35.2046 0.0017963082992445575 -2.5173593965872618e-05 -0.0003309635797776098 1.0 1.0 1.732 
P616 242.1067 35.4246 -0.005124926649194689 0.001309351027730263 -0.00020233906595928806 1.0 1.0 1.732 
P617 243.4284 35.3206 0.0022174215375596936 -0.0002689306523115045 -0.0005261712537035404 1.0 1.0 1.732 
P811 241.98340000000002 35.1524 -0.00032405806906822516 0.0020948987617335157 0.00033261684932115305 1.0 1.0 1.732 
P812 241.9835 35.1525 -0.0003241269151257595 0.0020957415084227027 0.0003327157746108097 1.0 1.0 1.732 
RAMT 242.3167 35.3387 0.0019848020094154874 0.013909746621747852 0.0012999001311303905 1.0 1.0 1.732 
RSTP 241.8071 34.8751 -5.9058106450702083e-05 0.0011607307477490445 0.00025457448023325467 1.0 1.0 1.732 
TEHA 241.53019999999998 35.1431 -0.0011551884835485908 0.00017925498121450822 -0.00021256533190363767 1.0 1.0 1.732 
THCP 241.5854 35.1582 -0.0012232217947963852 0.00022317275989834943 -0.00021015914804346585 1.0 1.0 1.732 
TPOG 241.7714 34.8789 -0.00010932412016803577 0.001046000792166745 0.0002179363263011262 1.0 1.0 1.732 
WHFG 241.648 35.6951 -0.004666635062322425 0.0002574411389149573 -0.0009873548005761364 1.0 1.0 1.732 
WORG 241.7576 35.6956 -0.006181280533852926 0.0003746146568269666 -0.0011605496241686283 1.0 1.0 1.732 
