# Name lon lat v_east v_north v_up e_east e_north e_up 
7ODM 242.9068 34.1164 -0.00534 0.00527 -0.00366 1.0 1.0 1.732 
ACSB 242.55509999999998 33.2743 -0.00519 0.00358 0.00337 1.0 1.0 1.732 
ACSX 242.55509999999998 33.2743 -0.00518 0.00329 0.00016 1.0 1.0 1.732 
AGMT 243.5706 34.5943 -0.00436 0.00329 0.00249 1.0 1.0 1.732 
ALTH 239.3302 36.8896 -0.00687 0.001 -7e-05 1.0 1.0 1.732 
ANA1 240.6365 34.015 -0.0064 0.00257 0.00163 1.0 1.0 1.732 
AR27 242.6751 33.3418 -0.00522 0.00339 0.0011 1.0 1.0 1.732 
AR53 242.5235 33.3811 -0.0044 0.00282 0.00291 1.0 1.0 1.732 
ARM2 241.0894 35.2013 -0.01197 0.00314 -0.00249 1.0 1.0 1.732 
AVRY 242.846 34.4683 -0.00712 0.00879 0.00111 1.0 1.0 1.732 
AZBH 245.39499999999998 35.1075 -0.00391 0.00096 -0.00743 1.0 1.0 1.732 
AZFM 245.4049 34.8522 -0.00369 -0.00041 0.00051 1.0 1.0 1.732 
AZGV 245.7457 35.2544 -0.00519 0.00056 -0.00599 1.0 1.0 1.732 
AZLH 245.6529 34.5083 -0.00378 0.00193 0.0026 1.0 1.0 1.732 
AZRY 243.3703 33.5401 -0.00483 0.00407 0.00025 1.0 1.0 1.732 
AZU1 242.1035 34.126 -0.00779 0.00559 0.00019 1.0 1.0 1.732 
AZYC 245.853 34.8793 -0.0017 0.00255 0.00042 1.0 1.0 1.732 
BALD 241.0986 37.7834 -0.00639 -0.00027 0.00406 1.0 1.0 1.732 
BAR1 240.9703 33.4805 -0.00585 0.00161 0.00627 1.0 1.0 1.732 
BBDM 240.01850000000002 34.5822 -0.00597 0.00168 -0.00325 1.0 1.0 1.732 
BBRY 243.11579999999998 34.2643 -0.00669 0.0031 0.00318 1.0 1.0 1.732 
BEMT 244.0018 34.0005 -0.00507 0.00239 -1e-05 1.0 1.0 1.732 
BEPK 241.9259 35.8784 -0.09892 0.01287 -0.00807 1.0 1.0 1.732 
BFLD 240.9547 35.4131 -0.01226 0.00186 0.0037 1.0 1.0 1.732 
BFSH 241.502 35.5911 -0.02916 0.00119 -0.0011 1.0 1.0 1.732 
BGIS 241.8403 33.9671 -0.00343 0.00573 0.00246 1.0 1.0 1.732 
BILL 242.93540000000002 33.5782 -0.00693 0.0056 -0.00319 1.0 1.0 1.732 
BKAP 243.9196 35.287 0.00224 -0.00126 -0.00543 1.0 1.0 1.732 
BKMS 241.9053 33.9623 -0.00493 0.00374 -0.00024 1.0 1.0 1.732 
BLYT 245.2851 33.6104 -0.00619 0.00108 0.00162 1.0 1.0 1.732 
BMHL 243.947 34.2514 -0.00405 0.00321 0.0067 1.0 1.0 1.732 
BOMG 244.27030000000002 33.3646 -0.00483 0.00219 0.00185 1.0 1.0 1.732 
BSRY 242.988 34.9186 -0.0027 0.00742 0.00802 1.0 1.0 1.732 
BTDM 241.8118 34.2928 -0.00487 0.00704 0.01035 1.0 1.0 1.732 
BUEG 239.80360000000002 34.6128 -0.01127 0.00036 0.00053 1.0 1.0 1.732 
BVPP 240.6525 35.1573 -0.00837 0.00155 0.0034 1.0 1.0 1.732 
CA99 241.1033 37.6446 -0.00515 -0.00156 0.00079 1.0 1.0 1.732 
CACT 244.0101 33.6551 -0.00682 0.00349 0.00226 1.0 1.0 1.732 
CAND 239.5663 35.9394 -0.00819 0.0014 0.00168 1.0 1.0 1.732 
CARH 239.5692 35.8884 -0.00696 0.00249 -0.00772 1.0 1.0 1.732 
CASE 242.596 33.4554 -0.00521 0.00462 -0.00095 1.0 1.0 1.732 
CASN 240.1547 34.4157 -0.0067 0.00297 0.00143 1.0 1.0 1.732 
CAT2 241.6662 33.3116 -0.00583 0.00256 0.00274 1.0 1.0 1.732 
CAT3 241.517 33.4458 -0.00486 0.00378 0.0037 1.0 1.0 1.732 
CBHS 241.3702 34.1386 -0.00696 0.00342 0.01276 1.0 1.0 1.732 
CCCC 242.3288 35.5653 -0.04983 0.21314 0.00253 1.0 1.0 1.732 
CCCS 242.1351 33.8627 -0.0074 0.00339 0.00183 1.0 1.0 1.732 
CDMT 243.66410000000002 34.8295 7e-05 0.00126 0.00463 1.0 1.0 1.732 
CHIL 241.974 34.3334 -0.00412 0.00459 0.0035 1.0 1.0 1.732 
CHMS 242.1723 34.6405 -0.00378 0.01208 0.00242 1.0 1.0 1.732 
CHOW 239.7895 37.0849 -0.00562 0.00219 -0.01226 1.0 1.0 1.732 
CIRX 241.0627 34.1096 -0.00602 0.00256 0.00638 1.0 1.0 1.732 
CIT1 241.8727 34.1367 -0.00865 0.00364 0.00263 1.0 1.0 1.732 
CJMG 242.5755 34.2712 -0.00873 0.00875 0.007 1.0 1.0 1.732 
CJMS 242.5206 34.3138 -0.00673 0.00885 0.00401 1.0 1.0 1.732 
CLAR 242.2912 34.1099 -0.00674 0.00674 0.00156 1.0 1.0 1.732 
CLBD 242.689 33.1354 -0.00567 0.0031 0.00523 1.0 1.0 1.732 
CMP9 241.58859999999999 34.3532 -0.00595 0.00443 -0.00711 1.0 1.0 1.732 
CNPP 242.3911 33.8576 -0.00547 0.00336 0.00218 1.0 1.0 1.732 
COPR 240.1205 34.4149 -0.00765 0.00095 -0.0029 1.0 1.0 1.732 
CPBN 242.42700000000002 35.0717 -0.00298 0.03753 0.00978 1.0 1.0 1.732 
CRBT 239.2492 35.7916 -0.00728 0.00141 0.00462 1.0 1.0 1.732 
CRCN 240.43200000000002 36.114 -0.00983 0.00052 0.00419 1.0 1.0 1.732 
CRFP 242.90030000000002 34.0391 -0.00432 0.00519 0.00381 1.0 1.0 1.732 
CRGG 240.27519999999998 35.2421 -0.0062 0.00375 0.00203 1.0 1.0 1.732 
CRHS 241.72719999999998 33.8235 -0.00882 -0.00417 0.00864 1.0 1.0 1.732 
CRRS 244.265 33.0698 -0.00594 0.00261 0.00034 1.0 1.0 1.732 
CRU1 240.21519999999998 34.0293 -0.00606 0.00167 0.00061 1.0 1.0 1.732 
CSCI 240.961 34.1684 -0.00491 0.00372 -0.00046 1.0 1.0 1.732 
CSDH 241.7433 33.8615 -0.00357 0.0027 0.0117 1.0 1.0 1.732 
CSST 240.6288 34.4081 -0.00603 0.00201 0.00223 1.0 1.0 1.732 
CTDM 241.3868 34.5165 -0.00419 0.00423 0.00795 1.0 1.0 1.732 
CTMS 243.62959999999998 34.1241 -0.00401 0.0041 -0.00784 1.0 1.0 1.732 
CUHS 240.3261 34.9426 -0.00901 0.0018 -0.00106 1.0 1.0 1.732 
CVHS 242.0983 34.082 -0.00645 0.0046 -0.00149 1.0 1.0 1.732 
DAM2 241.60309999999998 34.3348 -0.00413 0.00222 -0.00668 1.0 1.0 1.732 
DAM3 241.60250000000002 34.334 -0.00384 0.00631 -0.00573 1.0 1.0 1.732 
DDMN 241.0188 37.7442 -0.00633 0.00039 0.00263 1.0 1.0 1.732 
DHLG 244.212 33.3898 -0.0069 0.00292 -0.01064 1.0 1.0 1.732 
DLNO 240.7569 35.75 -0.01257 0.00197 -0.00385 1.0 1.0 1.732 
DLUZ 242.6928 33.4306 -0.00315 0.00312 0.00101 1.0 1.0 1.732 
DOND 240.3099 37.2643 -0.00752 0.00081 0.00815 1.0 1.0 1.732 
DONO 240.982 36.6925 -0.00998 0.00152 0.00372 1.0 1.0 1.732 
DS13 243.20850000000002 35.2478 0.00797 -0.0001 -0.00676 1.0 1.0 1.732 
DSME 242.7505 33.0365 -0.00846 0.00238 0.00328 1.0 1.0 1.732 
DSSC 243.28789999999998 33.7333 -0.00548 0.00462 0.00301 1.0 1.0 1.732 
DTPG 242.1541 35.2675 0.00086 0.04374 0.00829 1.0 1.0 1.732 
DYH2 241.8725 33.9383 -0.00482 0.00265 0.0046 1.0 1.0 1.732 
ECFS 242.5883 33.6477 -0.00598 0.00495 0.00236 1.0 1.0 1.732 
EDPP 241.1696 34.9462 -0.00664 0.00214 -0.00346 1.0 1.0 1.732 
ELLY 241.8712 33.5835 -0.00804 -0.01603 -0.01136 1.0 1.0 1.732 
