# Name lon lat v_east v_north v_up e_east e_north e_up 
ALIS 120.8133 23.5082 0.01478 0.00271 nan 0.00077 0.00093 0.00294 
ANBU 121.5296 25.1827 0.00524 -0.01591 nan 0.00064 0.00077 0.00244 
BIMO 120.9674 22.5328 0.00993 -0.00421 nan 0.00065 0.00078 0.00246 
CHE8 121.3736 23.0974 -0.00111 0.00077 nan 0.00055 0.00066 0.00209 
CHI0 120.5822 24.271 -0.02025 -0.00882 nan 0.00367 0.00443 0.01401 
CHI4 120.8289 23.9454 0.04862 -0.00312 nan 0.00057 0.00069 0.00217 
CHI7 120.4332 23.496 0.01594 -0.00175 nan 0.0005 0.00061 0.00191 
CHUL 121.1257 23.1324 0.0333 -0.02967 nan 0.00119 0.00143 0.00452 
CHUN 121.3931 23.4529 -0.03184 -0.00473 nan 0.00058 0.00069 0.00219 
CLA7 121.512 24.6023 0.04048 -0.04725 nan 0.001 0.00121 0.00381 
CLO1 120.5796 22.4301 0.0066 -0.00229 nan 0.00074 0.00089 0.00282 
CTOU 120.2778 22.7547 -0.0065 0.00188 nan 0.00086 0.00104 0.0033 
DAHU 120.8718 24.4229 0.0608 -0.0262 nan 0.00055 0.00066 0.0021 
DANI 120.3614 23.1195 0.03284 -0.00284 nan 0.00091 0.00109 0.00346 
DANL 120.7519 22.2041 0.01134 -0.00023 nan 0.0008 0.00096 0.00303 
DCHU 121.2806 23.2132 0.00121 0.00133 nan 0.00054 0.00065 0.00206 
DNAN 120.448 23.6738 0.01837 -0.00126 nan 0.00058 0.0007 0.00223 
DNFU 121.4823 23.6851 -0.06443 -0.03552 nan 0.00144 0.00173 0.00549 
DPIN 120.9328 24.0431 0.08125 -0.0085 nan 0.00051 0.00062 0.00195 
FKD2 120.862 23.6884 0.0153 0.00312 nan 0.0006 0.00072 0.00229 
FLON 121.9375 25.0204 0.00952 0.0037 nan 0.00074 0.00089 0.00283 
FUNY 120.3202 23.9223 0.01957 -0.00334 nan 0.00053 0.00063 0.002 
FUSN 121.3315 24.799 0.01373 -0.0396 nan 0.001 0.00121 0.00383 
GAIS 120.5906 23.0803 -0.00379 -0.00218 nan 0.00067 0.0008 0.00254 
GUK2 121.0069 24.203 0.09579 -0.03696 nan 0.00072 0.00087 0.00275 
GUKN 120.5888 23.6459 0.01372 0.00073 nan 0.00054 0.00065 0.00206 
HENC 120.7464 22.0039 -0.00424 -0.00058 nan 0.00055 0.00067 0.00211 
HNSN 121.3081 24.3377 0.12142 -0.10409 nan 0.00068 0.00081 0.00258 
HSIN 121.0143 24.8278 0.02628 -0.02464 nan 0.00064 0.00077 0.00244 
HUA3 121.6135 23.9754 0.02614 -0.0812 nan 0.00056 0.00068 0.00215 
HUAN 121.2726 24.1435 0.19395 -0.06949 nan 0.00051 0.00061 0.00194 
HUAP 121.7495 24.309 0.23178 0.12252 nan 0.00304 0.00367 0.01159 
HUWE 120.2866 23.7294 0.02281 -0.00011 nan 0.00053 0.00064 0.00202 
HUYS 121.0294 24.0923 0.09345 -0.01922 nan 0.00061 0.00074 0.00234 
ICHU 120.2793 23.3607 0.01851 -0.00465 nan 0.00051 0.00062 0.00195 
ILAN 121.7566 24.764 0.0105 -0.00562 nan 0.00063 0.00076 0.00241 
JLUT 120.6228 22.33 0.00494 0.00048 nan 0.00058 0.0007 0.00222 
JSAN 120.6809 23.7612 0.01742 -0.00287 nan 0.00056 0.00068 0.00214 
JYAN 121.2263 24.2425 0.15241 -0.068 nan 0.00056 0.00068 0.00214 
KASU 120.633 22.8102 0.00333 -0.00479 nan 0.00055 0.00066 0.00208 
KHLZ 120.2529 22.8559 -0.00608 0.00035 nan 0.0005 0.0006 0.00189 
KIMN 118.2892 24.4074 0.00987 -0.00641 nan 0.00071 0.00086 0.00273 
KYI2 121.0805 25.041 0.0236 -0.02314 nan 0.00065 0.00079 0.00249 
LANY 121.5581 22.0373 0.01852 0.00066 nan 0.00079 0.00095 0.003 
LGU2 120.635 22.9938 0.00108 0.00078 nan 0.00051 0.00061 0.00193 
LIKN 120.5279 22.7586 -0.00606 -0.00882 nan 0.00079 0.00096 0.00302 
LIU2 120.3687 22.3462 0.00086 -0.00209 nan 0.00051 0.00062 0.00196 
LNK2 121.3771 25.0776 0.02337 -0.01914 nan 0.0006 0.00073 0.0023 
LONT 121.1306 22.9063 1e-05 -0.00328 nan 0.00054 0.00065 0.00204 
LTUN 121.7716 24.7 0.03333 -0.00633 nan 0.00079 0.00095 0.00302 
LUKN 120.4351 24.06 0.01889 -0.00651 nan 0.00085 0.00103 0.00326 
MFEN 121.1725 24.0822 0.14684 -0.03073 nan 0.0005 0.0006 0.0019 
MIAO 120.8103 24.5835 0.05015 -0.02862 nan 0.00115 0.00139 0.00439 
MLO2 120.5538 22.9 0.0091 -0.00832 nan 0.00072 0.00087 0.00275 
NAAO 121.8102 24.4493 0.04604 0.03642 nan 0.00056 0.00067 0.00213 
NCK1 120.2758 22.9385 0.00159 -0.00492 nan 0.00052 0.00063 0.00198 
NCUT 121.1855 24.9677 0.01511 -0.02309 nan 0.00038 0.00045 0.00144 
NIPU 121.4121 23.2433 -0.00072 -0.00509 nan 0.00059 0.00071 0.00224 
NSAN 121.3828 24.4282 0.09735 -0.08996 nan 0.00077 0.00093 0.00293 
NSHE 120.8009 24.2258 0.05719 -0.01697 nan 0.00052 0.00063 0.002 
PAN9 119.5637 23.5652 0.01087 -0.00508 nan 0.00067 0.00081 0.00256 
