# Name lon lat v_east v_north v_up e_east e_north e_up 
ALIS 120.8133 23.5082 0.0001918206319235522 0.001651138183525955 nan 0.00077 0.00093 0.00294 
ANBU 121.5296 25.1827 -0.0012647016700003096 -0.008862891591681573 nan 0.00064 0.00077 0.00244 
BIMO 120.9674 22.5328 0.009953206475976834 -0.00385344639848271 nan 0.00065 0.00078 0.00246 
CHE8 121.3736 23.0974 0.0006694451108318217 0.001357575213165584 nan 0.00055 0.00066 0.00209 
CHI0 120.5822 24.271 -0.05731925871420632 0.0014480418130488632 nan 0.00367 0.00443 0.01401 
CHI4 120.8289 23.9454 -0.000941807584234497 0.000780570564579895 nan 0.00057 0.00069 0.00217 
CHI7 120.4332 23.496 0.003697561101857646 -0.0024890129866349414 nan 0.0005 0.00061 0.00191 
CHUL 121.1257 23.1324 0.03243907577795412 -0.028086954537361247 nan 0.00119 0.00143 0.00452 
CHUN 121.3931 23.4529 -0.029756852198242947 0.0020540269257462683 nan 0.00058 0.00069 0.00219 
CLA7 121.512 24.6023 -0.0069399575047215945 -0.0011187495397265018 nan 0.001 0.00121 0.00381 
CLO1 120.5796 22.4301 0.005916842291018725 -0.002013580551849439 nan 0.00074 0.00089 0.00282 
CTOU 120.2778 22.7547 -0.008874646987200568 0.0018523158254044837 nan 0.00086 0.00104 0.0033 
DAHU 120.8718 24.4229 0.00550588941610234 -0.0019448303839412415 nan 0.00055 0.00066 0.0021 
DANI 120.3614 23.1195 0.027667242370980845 -0.0032015818397020035 nan 0.00091 0.00109 0.00346 
DANL 120.7519 22.2041 0.011236716622785888 -8.585562215832483e-06 nan 0.0008 0.00096 0.00303 
DCHU 121.2806 23.2132 0.0017805505867544062 0.0035255729847452205 nan 0.00054 0.00065 0.00206 
DNAN 120.448 23.6738 0.0007469063432171928 -0.0015618799544611362 nan 0.00058 0.0007 0.00223 
DNFU 121.4823 23.6851 -0.054867628709146035 0.006328558669738568 nan 0.00144 0.00173 0.00549 
DPIN 120.9328 24.0431 0.010818046663447586 0.0021474684753122336 nan 0.00051 0.00062 0.00195 
FKD2 120.862 23.6884 -0.012413096948746169 0.0015894037027026808 nan 0.0006 0.00072 0.00229 
FLON 121.9375 25.0204 0.006940654909315733 0.00273139196678702 nan 0.00074 0.00089 0.00283 
FUNY 120.3202 23.9223 -0.001579187525844395 -0.0014688039650688559 nan 0.00053 0.00063 0.002 
FUSN 121.3315 24.799 -0.014160714335967339 -0.011514347242758596 nan 0.001 0.00121 0.00383 
GAIS 120.5906 23.0803 -0.007965930578506107 -0.002230983825171915 nan 0.00067 0.0008 0.00254 
GUK2 121.0069 24.203 0.007482984311570476 -0.010912841616823602 nan 0.00072 0.00087 0.00275 
GUKN 120.5888 23.6459 -0.005420280096645882 -4.437073398986971e-05 nan 0.00054 0.00065 0.00206 
HENC 120.7464 22.0039 -0.004231220268224243 -0.0004354671734576706 nan 0.00055 0.00067 0.00211 
HNSN 121.3081 24.3377 -0.022435843114447407 -0.029108355426696264 nan 0.00068 0.00081 0.00258 
HSIN 121.0143 24.8278 -0.0021156370954731017 -0.001866451803151526 nan 0.00064 0.00077 0.00244 
HUA3 121.6135 23.9754 -0.07885073865959266 0.022143055560230704 nan 0.00056 0.00068 0.00215 
HUAN 121.2726 24.1435 0.018061642031678538 -0.01335647144040479 nan 0.00051 0.00061 0.00194 
HUAP 121.7495 24.309 0.06609405567382615 -0.029352092799881976 nan 0.00304 0.00367 0.01159 
HUWE 120.2866 23.7294 0.006586473254825073 0.0001539765964911921 nan 0.00053 0.00064 0.00202 
HUYS 121.0294 24.0923 0.0007977109354597584 -0.0004013111882416945 nan 0.00061 0.00074 0.00234 
ICHU 120.2793 23.3607 0.00991463610884986 -0.005237398406845075 nan 0.00051 0.00062 0.00195 
ILAN 121.7566 24.764 0.0009089030369611138 -0.003701426015404071 nan 0.00063 0.00076 0.00241 
JLUT 120.6228 22.33 0.0045000702594455945 0.0007477386785651231 nan 0.00058 0.0007 0.00222 
JSAN 120.6809 23.7612 -0.009934857382284681 -0.003121660647807102 nan 0.00056 0.00068 0.00214 
JYAN 121.2263 24.2425 0.007557216042260784 -0.010741774789314665 nan 0.00056 0.00068 0.00214 
KASU 120.633 22.8102 0.0015254090571460892 -0.004487099783622968 nan 0.00055 0.00066 0.00208 
KHLZ 120.2529 22.8559 -0.009075634471266792 0.00022412970891080812 nan 0.0005 0.0006 0.00189 
KIMN 118.2892 24.4074 0.0058154869034494775 -0.0054801133471441 nan 0.00071 0.00086 0.00273 
KYI2 121.0805 25.041 0.006998174541736766 -0.007233383492990859 nan 0.00065 0.00079 0.00249 
LANY 121.5581 22.0373 0.01962737923677783 -0.0003524760834920514 nan 0.00079 0.00095 0.003 
LGU2 120.635 22.9938 -0.0020125662992738196 0.0009410797966272733 nan 0.00051 0.00061 0.00193 
LIKN 120.5279 22.7586 -0.007914816459983064 -0.008621657801928532 nan 0.00079 0.00096 0.00302 
LIU2 120.3687 22.3462 -3.2728182712062374e-06 -0.0019122069901877882 nan 0.00051 0.00062 0.00196 
LNK2 121.3771 25.0776 0.012208477337723933 -0.006664536293323319 nan 0.0006 0.00073 0.0023 
LONT 121.1306 22.9063 0.00010844161290756356 -0.0024420929927198194 nan 0.00054 0.00065 0.00204 
LTUN 121.7716 24.7 0.022159538735633325 -0.0076500789803739064 nan 0.00079 0.00095 0.00302 
LUKN 120.4351 24.06 -0.00888044738662594 -0.002330779461588034 nan 0.00085 0.00103 0.00326 
MFEN 121.1725 24.0822 0.012161281870576829 -0.00041591977804356084 nan 0.0005 0.0006 0.0019 
MIAO 120.8103 24.5835 0.010036912118323325 -0.0071366692393804165 nan 0.00115 0.00139 0.00439 
MLO2 120.5538 22.9 0.006478486285344507 -0.008189524938367748 nan 0.00072 0.00087 0.00275 
NAAO 121.8102 24.4493 -0.002813694577267628 -0.042148893697256225 nan 0.00056 0.00067 0.00213 
NCK1 120.2758 22.9385 -0.0019521122761014754 -0.005110693446663379 nan 0.00052 0.00063 0.00198 
NCUT 121.1855 24.9677 -0.003759741619954097 -0.004381548072645031 nan 0.00038 0.00045 0.00144 
NIPU 121.4121 23.2433 0.0017520324621255745 -0.0037065799828645903 nan 0.00059 0.00071 0.00224 
NSAN 121.3828 24.4282 -0.02265665549783699 -0.010082212422872841 nan 0.00077 0.00093 0.00293 
NSHE 120.8009 24.2258 0.0012697780928523084 -0.0015680385577555595 nan 0.00052 0.00063 0.002 
PAN9 119.5637 23.5652 0.0036802694497438428 -0.004917635116939851 nan 0.00067 0.00081 0.00256 
PAO2 120.9231 24.7079 0.005721697055303981 -0.0051131664858660685 nan 0.00062 0.00074 0.00235 
PEI1 120.1686 23.2938 0.009041598951730491 -0.004518597836841863 nan 0.00071 0.00085 0.00269 
PLA2 121.0864 24.5788 0.001364512055210966 -0.012848683038093722 nan 0.00069 0.00084 0.00264 
PNC1 122.0794 25.6275 0.005599523439542107 -0.0035340003965977354 nan 0.00049 0.00059 0.00186 
PNL1 120.9705 24.5429 0.01248510044123638 -0.005227155516134271 nan 0.00059 0.00071 0.00226 
PTDG 120.4652 22.4739 0.005599529265166998 -0.00515124378643049 nan 0.00056 0.00067 0.00213 
PUS2 120.5258 23.9702 0.00016044699458643216 3.935198447890028e-05 nan 0.00048 0.00058 0.00184 
SANL 120.7686 23.6645 -0.004626876265754455 0.0015300467284018089 nan 0.00057 0.00069 0.00217 
SANY 120.7692 24.4136 0.006785480699414696 -0.004971362132676807 nan 0.0005 0.00061 0.00191 
SANZ 121.5009 25.2608 -0.0077900303289497545 -0.002652391827657398 nan 0.00067 0.00081 0.00257 
SFON 121.0102 24.9329 -0.007882043243249122 -0.0026167235599097068 nan 0.00066 0.0008 0.00253 
SGAN 120.3497 22.5813 -0.015453263587293707 -0.01006086065701016 nan 0.00091 0.0011 0.00346 
SGUN 120.6919 24.2716 -0.0070775829354924324 0.0013439118426447731 nan 0.00064 0.00078 0.00246 
SHUL 121.5627 23.7876 0.004905885726327247 0.023660630539856314 nan 0.00086 0.00103 0.00327 
SHWA 120.3478 23.0214 0.00016380100002216878 -0.002528820151637423 nan 0.00059 0.00072 0.00227 
SLI1 121.4414 23.8119 0.0069013134382545464 0.028556463769301745 nan 0.001 0.00121 0.00383 
SLNP 121.6356 24.7531 0.002712515353408114 -0.0038894579162590346 nan 0.00058 0.0007 0.00223 
SNDI 120.6406 22.7173 0.005728114403158642 0.001145685289894593 nan 0.0007 0.00084 0.00266 
SON3 120.9859 24.3978 0.009673862158727994 0.00862432576740704 nan 0.00085 0.00103 0.00325 
SUA1 120.2999 23.4776 -0.0006620170857014069 -0.0057396017578630245 nan 0.00057 0.00069 0.00218 
SUA2 121.8477 24.6157 0.016915673869680285 -0.0047123525827290486 nan 0.00059 0.00071 0.00223 
SUN2 120.9084 23.8812 -0.006578166811901313 0.006572467798622653 nan 0.0006 0.00073 0.00229 
TAN2 121.4314 25.1785 -0.004165600120867382 -0.004410214168043467 nan 0.00049 0.00059 0.00187 
TAT3 120.887 23.4814 -0.049736467725197346 -0.014699622088989967 nan 0.00191 0.0023 0.00727 
TEGS 120.655 24.3562 -0.001911306909917733 -0.0005646628667884176 nan 0.00049 0.0006 0.00189 
TSHI 121.6328 25.2569 0.0043183632495647955 -0.00433589617721987 nan 0.00066 0.00079 0.0025 
TSIO 120.7041 24.4728 -0.010379617669036802 -0.0007678644108788622 nan 0.00061 0.00074 0.00233 
TTCS 121.2151 23.1249 -0.005169160645552285 -0.0017190882096295192 nan 0.0005 0.00061 0.00192 
TTUN 121.0807 22.7646 0.013997801968989957 -8.4803138734946e-05 nan 0.00076 0.00092 0.0029 
TUNM 121.4936 23.9652 -0.028408479404722478 0.037701993320628374 nan 0.00087 0.00104 0.0033 
TUNS 120.4041 23.3172 0.018808912312660006 -0.002147434381856966 nan 0.0007 0.00084 0.00266 
WALI 121.6894 25.1758 0.0058122936669947455 -0.004214942395032653 nan 0.00056 0.00068 0.00214 
WANS 120.8852 23.6075 -0.01860894089707676 0.008068694127161692 nan 0.0006 0.00073 0.00229 
WDAN 120.5043 22.6061 0.007967516970632142 -0.0015017611919388584 nan 0.0005 0.00061 0.00192 
WFEN 120.6995 24.0419 0.004324422771546481 0.001249759088322938 nan 0.00052 0.00063 0.00199 
WIPN 121.0586 24.6746 -0.0009151437452719902 -0.009733482296119547 nan 0.00053 0.00064 0.00201 
WUKU 121.4007 25.1173 0.010769434479889518 0.003637728020059088 nan 0.00107 0.00129 0.00407 
YAME 121.1853 24.9085 -0.0012835992443870521 -0.005320752813985061 nan 0.00062 0.00074 0.00236 
YENL 121.6019 23.9035 0.02964819104801373 -0.013309367590167098 nan 0.00053 0.00064 0.00203 
YLSS 121.653 24.6679 0.0037151366311016683 -0.001301595819288022 nan 0.00049 0.00059 0.00186 
YUL1 121.3002 23.3214 0.004182490097414652 -0.01673437409394846 nan 0.00103 0.00124 0.00393 
YUSN 120.9591 23.4873 -0.0047718404432723115 -0.0038353919382947054 nan 0.00121 0.00146 0.00461 
ZEND 120.2176 22.9433 -0.008778365531709405 0.005143920352137544 nan 0.00087 0.00104 0.0033 
ZUZH 121.5443 25.1622 0.006378960457553154 -0.005972648399200208 nan 0.00069 0.00083 0.00263 
