# Name lon lat v_east v_north v_up e_east e_north e_up 
ALIS 120.8133 23.5082 0.014588179368076694 0.0010588618164740354 0.0 0.00077 0.00093 0.00294 
ANBU 121.5296 25.1827 0.006504701670000334 -0.007047108408318283 0.0 0.00064 0.00077 0.00244 
BIMO 120.9674 22.5328 -2.3206475976738297e-05 -0.00035655360151736105 0.0 0.00065 0.00078 0.00246 
CHE8 121.3736 23.0974 -0.0017794451108318694 -0.0005875752131656902 0.0 0.00055 0.00066 0.00209 
CHI0 120.5822 24.271 0.03706925871420608 -0.010268041813048969 0.0 0.00367 0.00443 0.01401 
CHI4 120.8289 23.9454 0.049561807584234466 -0.003900570564579961 0.0 0.00057 0.00069 0.00217 
CHI7 120.4332 23.496 0.012242438898142666 0.0007390129866353707 0.0 0.0005 0.00061 0.00191 
CHUL 121.1257 23.1324 0.0008609242220459734 -0.0015830454626388278 0.0 0.00119 0.00143 0.00452 
CHUN 121.3931 23.4529 -0.0020831478017574257 -0.006784026925746547 0.0 0.00058 0.00069 0.00219 
CLA7 121.512 24.6023 0.04741995750472157 -0.046131250460273554 0.0 0.001 0.00121 0.00381 
CLO1 120.5796 22.4301 0.0006831577089809239 -0.0002764194481505069 0.0 0.00074 0.00089 0.00282 
CTOU 120.2778 22.7547 0.0023746469872007207 2.7684174595580033e-05 0.0 0.00086 0.00104 0.0033 
DAHU 120.8718 24.4229 0.05529411058389784 -0.024255169616058975 0.0 0.00055 0.00066 0.0021 
DANI 120.3614 23.1195 0.005172757629019273 0.00036158183970198745 0.0 0.00091 0.00109 0.00346 
DANL 120.7519 22.2041 0.00010328337721388143 -0.00022141443778441586 0.0 0.0008 0.00096 0.00303 
DCHU 121.2806 23.2132 -0.0005705505867544521 -0.0021955729847453254 0.0 0.00054 0.00065 0.00206 
DNAN 120.448 23.6738 0.01762309365678319 0.00030187995446144604 0.0 0.00058 0.0007 0.00223 
DNFU 121.4823 23.6851 -0.009562371290854167 -0.04184855866973861 0.0 0.00144 0.00173 0.00549 
DPIN 120.9328 24.0431 0.07043195333655253 -0.01064746847531195 0.0 0.00051 0.00062 0.00195 
